Nome;Ativo;Último;Compra;Venda;Variação;Variação %;Hora
AMBEV S/A ON;ABEV3;11,29;11,25;11,41;-0,38;-0,0326;19:45:00
AZUL PN;AZUL4;17,1;17,05;17,45;-0,02;-0,0012;19:45:00
B3 SA - Brasil Bolsa Bal... ON;B3SA3;38,35;38,05;39,06;-1,55;-0,0388;19:45:00
BANCO DO BRASIL ON;BBAS3;28,43;28,33;28,6;-1,13;-0,0382;19:45:00
BRADESCO ON;BBDC3;17,64;17,5;17,94;-1,13;-0,0602;19:45:01
BRADESCO PN;BBDC4;19,2;19,19;19,25;-1,44;-0,0698;19:45:01
BB SEGURIDADE ON;BBSE3;26,07;26;26,6;0,07;0,0027;19:45:01
MINERVA ON;BEEF3;12,16;12,1;12,49;-0,14;-0,0114;19:45:00
BTG PACTUAL UNT;BPAC11;41,91;41;43;-1,83;-0,0418;19:45:01
BRADESPAR PN;BRAP4;29,78;28,85;29,77;-1,54;-0,0492;19:45:01
PETROBRAS BR ON;BRDT3;19,53;19,5;20,3;-1,09;-0,0529;19:45:00
BRF S/A ON;BRFS3;19,4;19,25;19,9;-0,98;-0,0481;19:45:00
BRASKEM PNA;BRKM5;21,24;20,76;21,35;-0,71;-0,0323;19:45:00
BR MALLS PAR ON;BRML3;9,89;9,83;10,15;-0,78;-0,0731;19:45:01
B2W DIGITAL ON;BTOW3;73,9;73;74;-3,89;-0,05;19:45:01
CCR ON;CCRO3;12,2;12,17;12,91;-0,88;-0,0673;19:45:00
CIELO ON;CIEL3;4,09;4,07;4,12;-0,14;-0,0331;19:45:01
CEMIG PN;CMIG4;9,49;9,41;9,55;-0,27;-0,0277;19:45:00
COGNA ON;COGN3;5,49;5,45;5,57;-0,1;-0,0179;19:45:01
CPFL ENERGIA ON;CPFE3;28,71;28,07;29,54;-1,33;-0,0443;19:45:00
CARREFOUR ON;CRFB3;19,81;19,71;20,23;-0,39;-0,0193;19:45:01
COSAN ON;CSAN3;60,5;59,91;62,9;-1,34;-0,0217;19:45:00
SID NACIONAL ON;CSNA3;8,93;8,6;8,95;-0,1;-0,0111;19:45:01
