F,MSFT,FB,NFLX,GOOG  ,TSLA ,Ibov,SELIC,usd_brl,GOLD
12.366950562257,52.181597798987,102.22,109.96,741.84,223.41,42141.0,14.25,4.038,139.0
12.145637917978,52.419652533471,102.73,107.66,742.58,223.43,42419.0,14.25,4.0108,137.8
11.60563506594,51.467433595533,102.97,117.68,743.62,219.04,41773.0,14.25,4.0297,140.0
11.242682329324,49.67726199221,97.92,114.56,726.39,215.65,40694.0,14.25,4.0469,143.5
11.101042236986,49.82961702228,97.33,111.39,714.47,211.0,40612.0,14.25,4.0244,141.5
11.304649869722,49.801050454142,97.51,114.97,716.03,207.85,39950.0,14.25,4.0147,144.5
11.375469915891,50.258115544352,99.37,116.58,726.07,209.97,39513.0,14.25,4.0293,144.3
10.800057040768,49.172585955103,95.44,106.56,700.56,200.31,38944.0,14.25,3.9857,144.5
10.791204534997,50.572347793872,98.37,107.06,714.72,206.18,39500.0,14.25,4.0217,143.0
10.596449408032,48.553643645444,94.97,104.04,694.45,204.99,38569.0,14.25,4.0396,142.5
10.57874439649,48.144189502131,95.26,107.89,701.79,204.72,38057.0,14.25,4.0297,141.5
10.534481867634,48.363199857856,94.35,107.74,698.45,198.7,37645.0,14.25,4.0855,146.9
10.631859431117,48.068011987096,94.16,102.35,706.59,199.97,37717.0,14.25,4.1552,150.0
10.746942006141,49.791528264763,97.94,100.72,725.25,202.55,38031.0,14.25,4.1226,145.0
10.853172075395,49.67726199221,97.34,97.83,713.04,193.56,37497.0,14.25,4.0961,145.3
10.844319569624,48.77265400117,94.45,91.15,699.99,188.07,38376.0,14.25,4.0441,147.5
10.716201026185,49.567756814348,109.11,94.41,730.96,189.7,38630.0,14.25,4.0832,145.5
10.926681490406,52.457741290988,112.21,91.84,742.95,191.2,40405.0,14.25,4.0422,142.0
11.045648709313,52.095898094572,115.09,94.09,752.0,196.94,40570.0,14.25,3.9979,143.8
10.533174535559,50.467603710699,114.61,91.49,764.65,182.78,38596.0,14.25,3.9913,144.0
10.487417912902,49.667739802831,112.69,90.74,726.95,173.48,39588.0,14.25,3.9552,142.0
10.551477184621,49.515384772761,110.49,89.71,708.01,175.33,40821.0,14.25,3.8646,144.0
10.478266588371,47.763301926956,104.07,82.79,683.57,162.6,40592.0,14.25,3.8969,145.5
10.377602018526,47.334803404884,101.0,88.45,684.12,143.67,40376.0,14.25,3.9406,150.0
