WIKI/F - Open,WIKI/F - High,WIKI/F - Low,WIKI/F - Close,WIKI/F - Volume,WIKI/F - Ex-Dividend,WIKI/F - Split Ratio,WIKI/F - Adj. Open,WIKI/F - Adj. High,WIKI/F - Adj. Low,WIKI/F - Adj. Close,WIKI/F - Adj. Volume,WIKI/MSFT - Open,WIKI/MSFT - High,WIKI/MSFT - Low,WIKI/MSFT - Close,WIKI/MSFT - Volume,WIKI/MSFT - Ex-Dividend,WIKI/MSFT - Split Ratio,WIKI/MSFT - Adj. Open,WIKI/MSFT - Adj. High,WIKI/MSFT - Adj. Low,WIKI/MSFT - Adj. Close,WIKI/MSFT - Adj. Volume,WIKI/FB - Open,WIKI/FB - High,WIKI/FB - Low,WIKI/FB - Close,WIKI/FB - Volume,WIKI/FB - Ex-Dividend,WIKI/FB - Split Ratio,WIKI/FB - Adj. Open,WIKI/FB - Adj. High,WIKI/FB - Adj. Low,WIKI/FB - Adj. Close,WIKI/FB - Adj. Volume,WIKI/NFLX - Open,WIKI/NFLX - High,WIKI/NFLX - Low,WIKI/NFLX - Close,WIKI/NFLX - Volume,WIKI/NFLX - Ex-Dividend,WIKI/NFLX - Split Ratio,WIKI/NFLX - Adj. Open,WIKI/NFLX - Adj. High,WIKI/NFLX - Adj. Low,WIKI/NFLX - Adj. Close,WIKI/NFLX - Adj. Volume,WIKI/GOOG - Open,WIKI/GOOG - High,WIKI/GOOG - Low,WIKI/GOOG - Close,WIKI/GOOG - Volume,WIKI/GOOG - Ex-Dividend,WIKI/GOOG - Split Ratio,WIKI/GOOG - Adj. Open,WIKI/GOOG - Adj. High,WIKI/GOOG - Adj. Low,WIKI/GOOG - Adj. Close,WIKI/GOOG - Adj. Volume,WIKI/TSLA - Open,WIKI/TSLA - High,WIKI/TSLA - Low,WIKI/TSLA - Close,WIKI/TSLA - Volume,WIKI/TSLA - Ex-Dividend,WIKI/TSLA - Split Ratio,WIKI/TSLA - Adj. Open,WIKI/TSLA - Adj. High,WIKI/TSLA - Adj. Low,WIKI/TSLA - Adj. Close,WIKI/TSLA - Adj. Volume,BCB/7 - Value
13.87,14.0,13.75,13.97,38618524.0,0.0,1.0,12.278425504545,12.39350807957,12.172195435292,12.366950562257,38618524.0,54.32,54.8,53.39,54.8,53777963.0,0.0,1.0,51.724532708776,52.181597798987,50.838969096494,52.181597798987,53777963.0,101.95,102.24,99.75,102.22,37912403.0,0.0,1.0,101.95,102.24,99.75,102.22,37912403.0,109.0,110.0,105.21,109.96,20794848.0,0.0,1.0,109.0,110.0,105.21,109.96,20794848.0,743.0,744.06,731.2577,741.84,3272776.0,0.0,1.0,743.0,744.06,731.2577,741.84,3272776.0,230.72,231.38,219.0,223.41,6827146.0,0.0,1.0,230.72,231.38,219.0,223.41,6827146.0,42141.0
13.97,14.0,13.51,13.72,50237919.0,0.0,1.0,12.366950562257,12.39350807957,11.959735296785,12.145637917978,50237919.0,54.93,55.39,54.54,55.05,34079674.0,0.0,1.0,52.305386260918,52.74340697237,51.934020875123,52.419652533471,34079674.0,102.89,103.7099,101.665,102.73,23258238.0,0.0,1.0,102.89,103.7099,101.665,102.73,23258238.0,110.45,110.58,105.85,107.66,17664562.0,0.0,1.0,110.45,110.58,105.85,107.66,17664562.0,746.45,752.0,738.64,742.58,1950691.0,0.0,1.0,746.45,752.0,738.64,742.58,1950691.0,226.36,226.89,220.0,223.43,3186752.0,0.0,1.0,226.36,226.89,220.0,223.43,3186752.0,42419.0
13.56,13.56,13.05,13.11,61259369.0,0.0,1.0,12.003997825641,12.003997825641,11.552520031313,11.60563506594,61259369.0,54.32,54.4001,53.64,54.05,39518863.0,0.0,1.0,51.724532708776,51.800805445705,51.077023830979,51.467433595533,39518863.0,101.13,103.77,100.9,102.97,25096183.0,0.0,1.0,101.13,103.77,100.9,102.97,25096183.0,105.29,117.91,104.96,117.68,33045656.0,0.0,1.0,105.29,117.91,104.96,117.68,33045656.0,730.0,747.18,728.92,743.62,1947034.0,0.0,1.0,730.0,747.18,728.92,743.62,1947034.0,220.0,220.05,215.98,219.04,3779128.0,0.0,1.0,220.0,220.05,215.98,219.04,3779128.0,41773.0
12.9,13.04,12.6,12.7,57836454.0,0.0,1.0,11.419732444747,11.543667525542,11.154157271613,11.242682329324,57836454.0,52.7,53.485,52.07,52.17,56564852.0,0.0,1.0,50.181938029317,50.929429895598,49.582040098417,49.67726199221,56564852.0,100.5,101.43,97.3,97.92,45172906.0,0.0,1.0,100.5,101.43,97.3,97.92,45172906.0,116.36,122.18,112.29,114.56,33636661.0,0.0,1.0,116.36,122.18,112.29,114.56,33636661.0,730.31,738.5,719.06,726.39,2963741.0,0.0,1.0,730.31,738.5,719.06,726.39,2963741.0,214.19,218.44,213.67,215.65,3554251.0,0.0,1.0,214.19,218.44,213.67,215.65,3554251.0,40694.0
13.05,13.1,12.5,12.54,46173309.0,0.0,1.0,11.552520031313,11.596782560169,11.065632213902,11.101042236986,46173309.0,52.37,53.28,52.15,52.33,48753969.0,0.0,1.0,49.867705779798,50.734225013321,49.658217613452,49.82961702228,48753969.0,99.88,100.5,97.0311,97.33,35402298.0,0.0,1.0,99.88,100.5,97.0311,97.33,35402298.0,116.33,117.72,111.1,111.39,18067140.0,0.0,1.0,116.33,117.72,111.1,111.39,18067140.0,731.45,733.23,713.0,714.47,2450857.0,0.0,1.0,731.45,733.23,713.0,714.47,2450857.0,217.86,220.44,210.77,211.0,3628058.0,0.0,1.0,217.86,220.44,210.77,211.0,3628058.0,40612.0
12.8,12.82,12.55,12.77,41253761.0,0.0,1.0,11.331207387035,11.348912398578,11.109894742757,11.304649869722,41253761.0,52.51,52.85,51.46,52.3,36943756.0,0.0,1.0,50.001016431109,50.324770870008,49.001186546275,49.801050454142,36943756.0,97.91,98.6,95.39,97.51,29932385.0,0.0,1.0,97.91,98.6,95.39,97.51,29932385.0,112.13,116.79,111.2,114.97,21920390.0,0.0,1.0,112.13,116.79,111.2,114.97,21920390.0,716.61,718.855,703.54,716.03,2090621.0,0.0,1.0,716.61,718.855,703.54,716.03,2090621.0,214.01,214.45,203.0,207.85,4091422.0,0.0,1.0,214.01,214.45,203.0,207.85,4091422.0,39950.0
13.03,13.04,12.58,12.85,50835508.0,0.0,1.0,11.534815019771,11.543667525542,11.136452260071,11.375469915891,50835508.0,52.76,53.1,52.06,52.78,36095539.0,0.0,1.0,50.239071165594,50.562825604492,49.572517909037,50.258115544352,36095539.0,99.0,99.96,97.55,99.37,28395390.0,0.0,1.0,99.0,99.96,97.55,99.37,28395390.0,116.11,117.78,115.08,116.58,15133522.0,0.0,1.0,116.11,117.78,115.08,116.58,15133522.0,721.68,728.75,717.3165,726.07,2024509.0,0.0,1.0,721.68,728.75,717.3165,726.07,2024509.0,211.6,213.7395,205.31,209.97,3091917.0,0.0,1.0,211.6,213.7395,205.31,209.97,3091917.0,39513.0
12.73,12.84,12.06,12.2,102174690.0,0.0,1.0,11.269239846637,11.36661741012,10.676121959972,10.800057040768,102174690.0,53.8,54.07,51.3038,51.64,66883571.0,0.0,1.0,51.229378861049,51.486477974292,48.852449948169,49.172585955103,66883571.0,100.58,100.58,95.21,95.44,33410553.0,0.0,1.0,100.58,100.58,95.21,95.44,33410553.0,114.43,114.48,104.53,106.56,24921587.0,0.0,1.0,114.43,114.48,104.53,106.56,24921587.0,730.85,734.74,698.61,700.56,2501730.0,0.0,1.0,730.85,734.74,698.61,700.56,2501730.0,212.01,212.65,200.0,200.31,4126416.0,0.0,1.0,212.01,212.65,200.0,200.31,4126416.0,38944.0
12.19,12.31,11.82,12.19,62933612.0,0.0,1.0,10.791204534997,10.89743460425,10.463661821465,10.791204534997,62933612.0,52.0,53.4163,51.57,53.11,52381918.0,0.0,1.0,49.515384772761,50.864012454562,49.105930629448,50.572347793872,52381918.0,95.85,98.87,92.45,98.37,48658623.0,0.0,1.0,95.85,98.87,92.45,98.37,48658623.0,105.65,109.25,101.21,107.06,23664784.0,0.0,1.0,105.65,109.25,101.21,107.06,23664784.0,705.38,721.925,689.1,714.72,2225768.0,0.0,1.0,705.38,721.925,689.1,714.72,2225768.0,202.21,210.0,193.38,206.18,6490741.0,0.0,1.0,202.21,210.0,193.38,206.18,6490741.0,39500.0
11.81,12.0,11.58,11.97,69021343.0,0.0,1.0,10.454809315694,10.623006925346,10.251201682959,10.596449408032,69021343.0,51.31,51.97,50.34,50.99,71820697.0,0.0,1.0,48.858353705584,49.486818204623,47.934701335784,48.553643645444,71820697.0,93.98,96.38,93.54,94.97,46132781.0,0.0,1.0,93.98,96.38,93.54,94.97,46132781.0,102.43,105.5,101.72,104.04,19775141.0,0.0,1.0,102.43,105.5,101.72,104.04,19775141.0,692.29,706.74,685.37,694.45,3608109.0,0.0,1.0,692.29,706.74,685.37,694.45,3608109.0,198.97,205.07,197.25,204.99,5578640.0,0.0,1.0,198.97,205.07,197.25,204.99,5578640.0,38569.0
